date,codes,names,infected
2020-03-30,AKT,Aqtobe oblysy,2
2020-03-30,ALM,Almaty oblysy,8
2020-03-30,ATY,Atyrau oblysy,12
2020-03-30,VOS,Shyghys Qazaqstan oblysy,2
2020-03-30,ZHA,Zhambyl oblysy,3
2020-03-30,ZAP,Batys Qazaqstan oblysy,2
2020-03-30,KAR,Qaraghandy oblysy,13
2020-03-30,KUS,Qostanay oblysy,0
2020-03-30,KZY,Qyzylorda oblysy,5
2020-03-30,MAN,Mangghystau oblysy,1
2020-03-30,PAV,Pavlodar oblysy,1
2020-03-30,SEV,Soltustik Qazaqstan oblysy,1
2020-03-30,YUS,Turkistan oblysy,0
2020-03-31,KAZ,Kazakhstan,340
2020-03-31,AST,Nur-Sultan,178
2020-03-31,ALA,Almaty,82
2020-03-31,SHY,Shymkent,2
2020-03-31,AKM,Aqmola oblysy,10
2020-03-31,AKT,Aqtobe oblysy,3
2020-03-31,ALM,Almaty oblysy,8
2020-03-31,ATY,Atyrau oblysy,13
2020-03-31,VOS,Shyghys Qazaqstan oblysy,2
2020-03-31,ZHA,Zhambyl oblysy,3
2020-03-31,ZAP,Batys Qazaqstan oblysy,2
2020-03-31,KAR,Qaraghandy oblysy,13
2020-03-31,KUS,Qostanay oblysy,0
2020-03-31,KZY,Qyzylorda oblysy,18
2020-03-31,MAN,Mangghystau oblysy,1
2020-03-31,PAV,Pavlodar oblysy,1
2020-03-31,SEV,Soltustik Qazaqstan oblysy,3
2020-03-31,YUS,Turkistan oblysy,1
2020-04-01,KAZ,Kazakhstan,380
2020-04-01,AST,Nur-Sultan,184
2020-04-01,ALA,Almaty,86
2020-04-01,SHY,Shymkent,3
2020-04-01,AKM,Aqmola oblysy,19
2020-04-01,AKT,Aqtobe oblysy,4
2020-04-01,ALM,Almaty oblysy,9
2020-04-01,ATY,Atyrau oblysy,16
2020-04-01,VOS,Shyghys Qazaqstan oblysy,2
2020-04-01,ZHA,Zhambyl oblysy,3
2020-04-01,ZAP,Batys Qazaqstan oblysy,2
2020-04-01,KAR,Qaraghandy oblysy,15
2020-04-01,KUS,Qostanay oblysy,0
2020-04-01,KZY,Qyzylorda oblysy,25
2020-04-01,MAN,Mangghystau oblysy,1
2020-04-01,PAV,Pavlodar oblysy,1
2020-04-01,SEV,Soltustik Qazaqstan oblysy,5
2020-04-01,YUS,Turkistan oblysy,5
2020-04-02,KAZ,Kazakhstan,435
2020-04-02,AST,Nur-Sultan,199
2020-04-02,ALA,Almaty,91
2020-04-02,SHY,Shymkent,11
2020-04-02,AKM,Aqmola oblysy,19
2020-04-02,AKT,Aqtobe oblysy,5
2020-04-02,ALM,Almaty oblysy,9
2020-04-02,ATY,Atyrau oblysy,19
2020-04-02,VOS,Shyghys Qazaqstan oblysy,3
2020-04-02,ZHA,Zhambyl oblysy,6
2020-04-02,ZAP,Batys Qazaqstan oblysy,2
2020-04-02,KAR,Qaraghandy oblysy,21
2020-04-02,KUS,Qostanay oblysy,0
2020-04-02,KZY,Qyzylorda oblysy,26
2020-04-02,MAN,Mangghystau oblysy,1
2020-04-02,PAV,Pavlodar oblysy,1
2020-04-02,SEV,Soltustik Qazaqstan oblysy,11
2020-04-02,YUS,Turkistan oblysy,11
2020-04-03,KAZ,Kazakhstan,464
2020-04-03,AST,Nur-Sultan,202
2020-04-03,ALA,Almaty,93
2020-04-03,SHY,Shymkent,11
2020-04-03,AKM,Aqmola oblysy,19
2020-04-03,AKT,Aqtobe oblysy,7
2020-04-03,ALM,Almaty oblysy,9
2020-04-03,ATY,Atyrau oblysy,20
2020-04-03,VOS,Shyghys Qazaqstan oblysy,4
2020-04-03,ZHA,Zhambyl oblysy,8
2020-04-03,ZAP,Batys Qazaqstan oblysy,2
2020-04-03,KAR,Qaraghandy oblysy,22
2020-04-03,KUS,Qostanay oblysy,1
2020-04-03,KZY,Qyzylorda oblysy,26
2020-04-03,MAN,Mangghystau oblysy,2
2020-04-03,PAV,Pavlodar oblysy,1
2020-04-03,SEV,Soltustik Qazaqstan oblysy,18
2020-04-03,YUS,Turkistan oblysy,19
2020-04-04,KAZ,Kazakhstan,531
2020-04-04,AST,Nur-Sultan,219
2020-04-04,ALA,Almaty,110
2020-04-04,SHY,Shymkent,13
2020-04-04,AKM,Aqmola oblysy,20
2020-04-04,AKT,Aqtobe oblysy,10
2020-04-04,ALM,Almaty oblysy,10
2020-04-04,ATY,Atyrau oblysy,22
2020-04-04,VOS,Shyghys Qazaqstan oblysy,4
2020-04-04,ZHA,Zhambyl oblysy,11
2020-04-04,ZAP,Batys Qazaqstan oblysy,2
2020-04-04,KAR,Qaraghandy oblysy,27
2020-04-04,KUS,Qostanay oblysy,1
2020-04-04,KZY,Qyzylorda oblysy,30
2020-04-04,MAN,Mangghystau oblysy,3
2020-04-04,PAV,Pavlodar oblysy,1
2020-04-04,SEV,Soltustik Qazaqstan oblysy,25
2020-04-04,YUS,Turkistan oblysy,23
2020-04-05,KAZ,Kazakhstan,584
2020-04-05,AST,Nur-Sultan,219
2020-04-05,ALA,Almaty,116
2020-04-05,SHY,Shymkent,14
2020-04-05,AKM,Aqmola oblysy,23
2020-04-05,AKT,Aqtobe oblysy,11
2020-04-05,ALM,Almaty oblysy,10
2020-04-05,ATY,Atyrau oblysy,29
2020-04-05,VOS,Shyghys Qazaqstan oblysy,5
2020-04-05,ZHA,Zhambyl oblysy,28
2020-04-05,ZAP,Batys Qazaqstan oblysy,2
2020-04-05,KAR,Qaraghandy oblysy,32
2020-04-05,KUS,Qostanay oblysy,1
2020-04-05,KZY,Qyzylorda oblysy,37
2020-04-05,MAN,Mangghystau oblysy,3
2020-04-05,PAV,Pavlodar oblysy,1
2020-04-05,SEV,Soltustik Qazaqstan oblysy,25
2020-04-05,YUS,Turkistan oblysy,28
2020-04-06,KAZ,Kazakhstan,662
2020-04-06,AST,Nur-Sultan,221
2020-04-06,ALA,Almaty,119
2020-04-06,SHY,Shymkent,19
2020-04-06,AKM,Aqmola oblysy,42
2020-04-06,AKT,Aqtobe oblysy,11
2020-04-06,ALM,Almaty oblysy,10
2020-04-06,ATY,Atyrau oblysy,29
2020-04-06,VOS,Shyghys Qazaqstan oblysy,6
2020-04-06,ZHA,Zhambyl oblysy,40
2020-04-06,ZAP,Batys Qazaqstan oblysy,2
2020-04-06,KAR,Qaraghandy oblysy,48
2020-04-06,KUS,Qostanay oblysy,1
2020-04-06,KZY,Qyzylorda oblysy,50
2020-04-06,MAN,Mangghystau oblysy,5
2020-04-06,PAV,Pavlodar oblysy,1
2020-04-06,SEV,Soltustik Qazaqstan oblysy,25
2020-04-06,YUS,Turkistan oblysy,33
2020-04-07,KAZ,Kazakhstan,697
2020-04-07,AST,Nur-Sultan,222
2020-04-07,ALA,Almaty,119
2020-04-07,SHY,Shymkent,20
2020-04-07,AKM,Aqmola oblysy,42
2020-04-07,AKT,Aqtobe oblysy,11
2020-04-07,ALM,Almaty oblysy,10
2020-04-07,ATY,Atyrau oblysy,32
2020-04-07,VOS,Shyghys Qazaqstan oblysy,6
2020-04-07,ZHA,Zhambyl oblysy,45
2020-04-07,ZAP,Batys Qazaqstan oblysy,2
2020-04-07,KAR,Qaraghandy oblysy,55
2020-04-07,KUS,Qostanay oblysy,3
2020-04-07,KZY,Qyzylorda oblysy,66
2020-04-07,MAN,Mangghystau oblysy,5
2020-04-07,PAV,Pavlodar oblysy,1
2020-04-07,SEV,Soltustik Qazaqstan oblysy,25
2020-04-07,YUS,Turkistan oblysy,33
2020-04-08,KAZ,Kazakhstan,727
2020-04-08,AST,Nur-Sultan,223
2020-04-08,ALA,Almaty,119
2020-04-08,SHY,Shymkent,23
2020-04-08,AKM,Aqmola oblysy,43
2020-04-08,AKT,Aqtobe oblysy,11
2020-04-08,ALM,Almaty oblysy,10
2020-04-08,ATY,Atyrau oblysy,36
2020-04-08,VOS,Shyghys Qazaqstan oblysy,6
2020-04-08,ZHA,Zhambyl oblysy,45
2020-04-08,ZAP,Batys Qazaqstan oblysy,2
2020-04-08,KAR,Qaraghandy oblysy,55
2020-04-08,KUS,Qostanay oblysy,3
2020-04-08,KZY,Qyzylorda oblysy,85
2020-04-08,MAN,Mangghystau oblysy,6
2020-04-08,PAV,Pavlodar oblysy,1
2020-04-08,SEV,Soltustik Qazaqstan oblysy,25
2020-04-08,YUS,Turkistan oblysy,34
2020-04-09,KAZ,Kazakhstan,727
2020-04-09,AST,Nur-Sultan,223
2020-04-09,ALA,Almaty,119
2020-04-09,SHY,Shymkent,23
2020-04-09,AKM,Aqmola oblysy,43
2020-04-09,AKT,Aqtobe oblysy,11
2020-04-09,ALM,Almaty oblysy,10
2020-04-09,ATY,Atyrau oblysy,36
2020-04-09,VOS,Shyghys Qazaqstan oblysy,6
2020-04-09,ZHA,Zhambyl oblysy,45
2020-04-09,ZAP,Batys Qazaqstan oblysy,2
2020-04-09,KAR,Qaraghandy oblysy,55
2020-04-09,KUS,Qostanay oblysy,3
2020-04-09,KZY,Qyzylorda oblysy,85
2020-04-09,MAN,Mangghystau oblysy,6
2020-04-09,PAV,Pavlodar oblysy,1
2020-04-09,SEV,Soltustik Qazaqstan oblysy,25
2020-04-09,YUS,Turkistan oblysy,34
